sample-id,primer,Depth,env_broad_scale,env_local_scale,env_medium,geo_loc_name,Sample Name,ammonium,nitrate,diss_oxygen,ph,lake,info,depth,temp,conductivity,ChlA,turbidity,PAR,DRP,is_delta,latitude,longitude,BioProject,BioSample,BioSampleModel,Collection_Date,Experiment,geo_loc_name_country,geo_loc_name_country_continent,lat_lon,Library Name,Organism,SRA Study,elev,tot_org_carb,calcium,Chloride,magnesium,org_carb,sulfate,diss_org_carb,Salinity,potassium,sodium,TEMP,altitude
SRR17978930,3NDf_V4eukR2,surface,Xi_Hu_Lake,Ice-Free Peninsula Lake,water,Antarctica,XH_18,0.46,,,7.75,,,0.5,2.6,,0.56,,,,,,,PRJNA805287,SAMN25851879,Metagenome or environmental,31/12/2018,SRX14134766,uncalculated,uncalculated,,XH_18,lake water metagenome,SRP359325,,,,,,,,,,,,,
SRR17978931,3NDf_V4eukR3,surface,Chang_Hu_Lake,Ice-Free Peninsula Lake,water,Antarctica,CH_18,0.27,,,8.27,,,0.5,2,,0.31,,,,,,,PRJNA805287,SAMN25851878,Metagenome or environmental,31/12/2018,SRX14134765,uncalculated,uncalculated,,CH_18,lake water metagenome,SRP359325,,,,,,,,,,,,,
SRR17978932,3NDf_V4eukR4,surface,Yue_Ya_Lake,Ice-Free Peninsula Lake,water,Antarctica,YY_18,0.74,,,7.55,,,0.5,2.1,,1.26,,,,,,,PRJNA805287,SAMN25851877,Metagenome or environmental,20/12/2018,SRX14134764,uncalculated,uncalculated,,YY_18,lake water metagenome,SRP359325,,,,,,,,,,,,,
SRR17978933,3NDf_V4eukR5,surface,Yan_Ou_Lake,Ice-Free Peninsula Lake,water,Antarctica,YO_18,0.27,,,7.87,,,0.5,3.5,,0.89,,,,,,,PRJNA805287,SAMN25851876,Metagenome or environmental,31/12/2018,SRX14134763,uncalculated,uncalculated,,YO_18,lake water metagenome,SRP359325,,,,,,,,,,,,,
SRR17978934,3NDf_V4eukR6,surface,Kitec_Lake,Ice-Free Peninsula Lake,water,Antarctica,KT_18,0.42,,,7.91,,,0.5,2.7,,0.43,,,,,,,PRJNA805287,SAMN25851875,Metagenome or environmental,31/12/2018,SRX14134762,uncalculated,uncalculated,,KT_18,lake water metagenome,SRP359325,,,,,,,,,,,,,
SRR17978935,3NDf_V4eukR7,surface,Xi_Hu_Lake,Ice-Free Peninsula Lake,water,Antarctica,XH_17,,,,7.91,,,0.5,1.6,,0.33,,,,,,,PRJNA805287,SAMN25851874,Metagenome or environmental,08/01/2018,SRX14134761,uncalculated,uncalculated,,XH_17,lake water metagenome,SRP359325,,,,,,,,,,,,,
SRR17978936,3NDf_V4eukR8,surface,Chang_Hu_Lake,Ice-Free Peninsula Lake,water,Antarctica,CH_17,,,,8.05,,,0.5,0.9,,0.25,,,,,,,PRJNA805287,SAMN25851873,Metagenome or environmental,09/01/2018,SRX14134760,uncalculated,uncalculated,,CH_17,lake water metagenome,SRP359325,,,,,,,,,,,,,
SRR17978937,3NDf_V4eukR9,surface,Yue_Ya_Lake,Ice-Free Peninsula Lake,water,Antarctica,YY_17,,,,8.05,,,0.5,0.9,,2.11,,,,,,,PRJNA805287,SAMN25851872,Metagenome or environmental,14/01/2018,SRX14134759,uncalculated,uncalculated,,YY_17,lake water metagenome,SRP359325,,,,,,,,,,,,,
SRR17978938,3NDf_V4eukR10,surface,Xi_Hu_Lake,Ice-Free Peninsula Lake,water,Antarctica,XH_19,0.23,,,7.91,,,0.5,3.69,,,,,,,,,PRJNA805287,SAMN25851884,Metagenome or environmental,20/12/2019,SRX14134758,uncalculated,uncalculated,,XH_19,lake water metagenome,SRP359325,,,,,,,,,,,,,
SRR17978939,3NDf_V4eukR11,surface,Chang_Hu_Lake,Ice-Free Peninsula Lake,water,Antarctica,CH_19,0.15,,,7.82,,,0.5,3.37,,,,,,,,,PRJNA805287,SAMN25851883,Metagenome or environmental,22/12/2019,SRX14134757,uncalculated,uncalculated,,CH_19,lake water metagenome,SRP359325,,,,,,,,,,,,,
SRR17978940,3NDf_V4eukR12,surface,Yue_Ya_Lake,Ice-Free Peninsula Lake,water,Antarctica,YY_19,0.05,,,7.65,,,0.5,2.22,,,,,,,,,PRJNA805287,SAMN25851882,Metagenome or environmental,24/12/2019,SRX14134756,uncalculated,uncalculated,,YY_19,lake water metagenome,SRP359325,,,,,,,,,,,,,
SRR17978941,3NDf_V4eukR13,surface,Yan_Ou_Lake,Ice-Free Peninsula Lake,water,Antarctica,YO_19,0.18,,,7.95,,,0.5,7.14,,,,,,,,,PRJNA805287,SAMN25851881,Metagenome or environmental,20/12/2019,SRX14134755,uncalculated,uncalculated,,YO_19,lake water metagenome,SRP359325,,,,,,,,,,,,,
SRR17978942,3NDf_V4eukR14,surface,Kitec_Lake,Ice-Free Peninsula Lake,water,Antarctica,KT_19,0.11,,,7.81,,,0.5,2.27,,,,,,,,,PRJNA805287,SAMN25851880,Metagenome or environmental,22/12/2019,SRX14134754,uncalculated,uncalculated,,KT_19,lake water metagenome,SRP359325,,,,,,,,,,,,,
SRR17978943,3NDf_V4eukR15,surface,Yan_Ou_Lake,Ice-Free Peninsula Lake,water,Antarctica,YO_17,,,,7.92,,,0.5,4.9,,0.33,,,,,,,PRJNA805287,SAMN25851871,Metagenome or environmental,08/01/2018,SRX14134753,uncalculated,uncalculated,,YO_17,lake water metagenome,SRP359325,,,,,,,,,,,,,
SRR17978944,3NDf_V4eukR16,surface,Kitec_Lake,Ice-Free Peninsula Lake,water,Antarctica,KT_17,,,,7.89,,,0.5,2.4,,0.4,,,,,,,PRJNA805287,SAMN25851870,Metagenome or environmental,09/01/2018,SRX14134752,uncalculated,uncalculated,,KT_17,lake water metagenome,SRP359325,,,,,,,,,,,,,
